Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight,Max_Weight,Min_BP,Max_BP,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Chikungunya,Paracetamol,"Nausea, Headache, Dizziness",2,61,39,110,93,159,Low,No,None,None,A+,10
Osteoarthritis,Diclofenac,"Nausea, Headache, Dizziness",9,76,27,91,91,141,Avoid,No,"Penicillin,Dust,None","None,Statins,Insulin,BP Meds",B+,9
Cholera,Amoxicillin,"Nausea, Headache, Dizziness",8,71,40,70,90,170,Avoid,No,Food Allergy,"None,Statins,Insulin,BP Meds",AB-,6
Parkinson’s disease,Ibuprofen,"Nausea, Headache, Dizziness",7,57,35,98,81,128,Avoid,Yes,"Penicillin,Dust,None",None,B+,10
Vitamin D deficiency,Paracetamol,"Nausea, Headache, Dizziness",7,65,39,91,83,158,Low,Yes,Food Allergy,None,O-,8
Measles,Amoxicillin,"Nausea, Headache, Dizziness",5,65,37,94,88,159,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",O+,6
Rabies,Ibuprofen,"Nausea, Headache, Dizziness",3,78,40,85,94,133,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,10
UTI,Nitrofurantoin,"Nausea, Headache, Dizziness",10,73,26,80,97,130,Moderate,Yes,None,"None,Statins,Insulin,BP Meds",AB-,9
Bronchitis,Amoxicillin,"Nausea, Headache, Dizziness",2,52,33,110,83,142,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A-,6
PCOS,Amoxicillin,"Nausea, Headache, Dizziness",9,63,39,64,100,151,Moderate,No,Food Allergy,"None,Statins,Insulin,BP Meds",B-,6
Influenza,Paracetamol,"Nausea, Headache, Dizziness",4,82,40,91,97,163,Low,No,None,None,B-,6
Asthma,Budesonide,"Nausea, Headache, Dizziness",5,51,39,99,80,156,Low,No,Food Allergy,"None,Statins,Insulin,BP Meds",A+,7
