Disease,Medicine,Side_Effects,Min_Age,Max_Age,Min_Weight_kg,Max_Weight_kg,Min_BP_mmHg,Max_BP_mmHg,Alcohol_Consumption,Pregnant,Allergies,Current_Medications,Blood_Group,Effectiveness_1_10
Kidney Disease,Erythropoietin,Diarrhea,11,80,47,69,81,127,Occasional,Not Applicable,Peanuts,Vitamin D,AB-,9
Depression,Escitalopram,Dry Mouth,8,78,50,78,94,169,No,Not Applicable,Peanuts,Calcium,A-,5
Liver Disease,Ursodeoxycholic Acid,Rash,14,74,39,77,81,134,Occasional,No,Pollen,Calcium,O+,5
Kidney Disease,Erythropoietin,Fatigue,9,68,31,62,92,176,Yes,Yes,Dust,Multivitamin,A+,9
Migraine,Topiramate,Diarrhea,12,55,42,95,80,125,Yes,Yes,Peanuts,None,A-,7
Thyroid Disorder,Propylthiouracil,Diarrhea,6,47,35,111,95,177,Occasional,Yes,Pollen,Calcium,B-,5
Asthma,Budesonide,Sleepiness,10,67,44,115,84,121,Yes,Yes,Dust,Iron Supplement,B+,5
Typhoid,Ciprofloxacin,Dry Mouth,1,72,41,68,91,140,Yes,No,Dust,Calcium,A+,8
Arthritis,Diclofenac,Fatigue,6,52,49,119,87,152,Yes,Yes,Pollen,Calcium,O-,7
Allergy,Loratadine,Nausea,6,61,43,95,81,176,Occasional,Yes,Dust,Multivitamin,O-,4
COVID-19,Remdesivir,Rash,1,45,49,113,84,155,No,Not Applicable,None,Calcium,O-,9
Heart Disease,Atorvastatin,Rash,8,50,34,96,97,141,Occasional,Yes,Peanuts,None,A-,4
Migraine,Propranolol,Fatigue,18,51,45,92,89,124,Occasional,No,Penicillin,Multivitamin,A+,4
Hypertension,Atenolol,Rash,7,82,34,61,83,125,No,No,Sulfa,None,B-,5
Kidney Disease,Erythropoietin,Vomiting,7,58,44,105,99,143,Yes,Not Applicable,Sulfa,Iron Supplement,A+,4
Tuberculosis,Ethambutol,Constipation,6,87,41,70,89,125,No,Not Applicable,Pollen,None,B-,9
Cancer,Paclitaxel,Sleepiness,13,64,33,83,81,160,Occasional,No,Pollen,Calcium,B-,6
Migraine,Topiramate,Constipation,2,47,50,66,95,163,Occasional,Yes,Sulfa,None,O+,5
Thyroid Disorder,Levothyroxine,Fatigue,9,80,47,95,85,178,Yes,Not Applicable,None,Vitamin D,AB+,6
Allergy,Loratadine,Diarrhea,15,57,49,80,83,132,No,No,None,Calcium,AB+,10
Asthma,Budesonide,Nausea,4,78,30,116,96,128,No,No,Dust,Multivitamin,B+,9
Thyroid Disorder,Levothyroxine,Vomiting,16,90,47,95,81,179,No,Not Applicable,Pollen,None,A-,4
Liver Disease,Rifaximin,Fatigue,15,72,39,114,99,138,Occasional,No,None,Calcium,AB-,5
Allergy,Cetirizine,Constipation,15,70,45,82,100,175,Yes,No,Sulfa,Calcium,A-,5
Migraine,Sumatriptan,Sleepiness,16,57,34,93,93,133,No,Yes,Pollen,Calcium,B-,9
Obesity,Phentermine,Nausea,18,56,40,86,89,160,Occasional,Not Applicable,None,Multivitamin,AB-,8
Arthritis,Methotrexate,Fatigue,11,40,45,62,82,126,No,Yes,None,Vitamin D,AB+,10
Asthma,Montelukast,Vomiting,3,42,32,96,96,154,No,No,Sulfa,Calcium,A+,5
Diabetes,Metformin,Fatigue,10,80,45,102,94,141,Yes,Yes,Pollen,None,B+,7
Cancer,Paclitaxel,Dry Mouth,13,55,50,69,80,142,Yes,No,Dust,Iron Supplement,B+,8
Cancer,Paclitaxel,Diarrhea,8,50,30,71,97,166,Yes,Yes,None,Iron Supplement,A-,8
Heart Disease,Aspirin,Sleepiness,8,76,30,112,95,145,No,Yes,Peanuts,Calcium,A+,9
Heart Disease,Atorvastatin,Fatigue,13,59,43,87,94,146,No,No,Peanuts,None,O+,9
Typhoid,Ciprofloxacin,Dry Mouth,9,80,45,118,99,178,Occasional,Yes,Pollen,Vitamin D,O+,4
Typhoid,Azithromycin,Dizziness,6,48,44,118,99,142,No,Not Applicable,Peanuts,Vitamin D,O+,7
PCOS,Metformin,Dizziness,14,48,35,93,96,174,Occasional,Yes,Dust,Calcium,B+,10
Arthritis,Ibuprofen,Constipation,10,74,37,105,87,158,Yes,Yes,Pollen,Calcium,O+,5
Allergy,Loratadine,Dry Mouth,7,43,40,96,83,163,Yes,No,Pollen,None,A+,5
Malaria,Artemether,Dizziness,8,60,37,82,99,125,No,Not Applicable,Peanuts,Calcium,AB-,8
Flu,Ibuprofen,Rash,13,53,35,79,81,125,Yes,Not Applicable,Penicillin,Iron Supplement,AB+,7
Asthma,Montelukast,Nausea,1,58,33,93,80,152,Yes,No,Sulfa,Calcium,B-,10
Hypertension,Amlodipine,Constipation,10,41,36,89,81,167,Occasional,Yes,Pollen,None,O+,10
PCOS,Metformin,Constipation,8,43,30,94,94,162,No,No,None,Vitamin D,B-,4
Flu,Oseltamivir,Rash,13,71,48,62,89,170,Yes,No,Dust,Calcium,AB+,6
Depression,Escitalopram,Fatigue,6,75,36,67,97,165,Yes,Not Applicable,Sulfa,None,AB-,9
Arthritis,Ibuprofen,Sleepiness,16,47,45,66,92,176,Yes,Yes,Peanuts,None,AB+,8
COVID-19,Remdesivir,Headache,14,65,47,117,82,167,No,No,Dust,None,A+,5
Diabetes,Glimepiride,Dizziness,12,60,30,91,91,165,No,Yes,Dust,Vitamin D,B+,6
Allergy,Loratadine,Vomiting,10,57,38,104,81,157,Occasional,Not Applicable,Peanuts,None,O+,10
Depression,Escitalopram,Diarrhea,9,49,48,98,83,151,Yes,Yes,None,Calcium,A-,10
Migraine,Propranolol,Fatigue,3,87,33,67,100,167,No,Not Applicable,None,Iron Supplement,AB+,5
Anxiety,Alprazolam,Diarrhea,1,72,45,111,82,123,No,No,Sulfa,Vitamin D,A+,6
Anxiety,Alprazolam,Rash,6,65,34,66,95,180,No,Yes,None,Calcium,O-,8
Arthritis,Diclofenac,Vomiting,2,73,43,65,88,148,Occasional,Not Applicable,Peanuts,None,O-,4
Anxiety,Clonazepam,Vomiting,2,58,40,109,87,129,No,No,Pollen,Iron Supplement,AB+,7
Heart Disease,Clopidogrel,Rash,2,50,30,109,98,144,Occasional,Not Applicable,None,Calcium,AB+,6
Arthritis,Diclofenac,Dizziness,10,76,42,114,82,136,Occasional,Yes,Dust,Calcium,B-,7
Flu,Oseltamivir,Vomiting,13,45,35,84,97,179,Occasional,No,Peanuts,Multivitamin,A+,5
Tuberculosis,Ethambutol,Rash,12,85,46,96,99,163,No,Not Applicable,Dust,Vitamin D,AB+,10
Arthritis,Ibuprofen,Sleepiness,3,73,45,79,88,138,Yes,Not Applicable,Penicillin,Calcium,A+,9
Anxiety,Buspirone,Constipation,5,46,41,119,91,158,Occasional,No,None,Vitamin D,B+,7
Flu,Ibuprofen,Dizziness,10,82,42,86,97,165,Yes,No,Penicillin,Multivitamin,B+,10
Hypertension,Atenolol,Nausea,8,69,37,103,89,153,Occasional,Not Applicable,None,Vitamin D,B+,7
Heart Disease,Aspirin,Constipation,16,88,38,78,91,138,Occasional,No,Sulfa,Multivitamin,AB+,5
Depression,Fluoxetine,Vomiting,9,45,44,120,100,174,No,Not Applicable,None,Multivitamin,A+,5
Malaria,Artemether,Dry Mouth,10,49,32,101,98,152,Occasional,No,Peanuts,Calcium,O-,4
